ObservationDate,Country/Region,Province/State,Confirmed,Deaths,Recovered,Active
23-01-2020,Australia,NA,0,0,0,0
25-01-2020,Australia,NA,4,0,0,0
26-01-2020,Australia,NA,4,0,0,0
27-01-2020,Australia,New South Wales,4,0,0,0
27-01-2020,Australia,Victoria,1,0,0,0
28-01-2020,Australia,New South Wales,4,0,0,0
28-01-2020,Australia,Victoria,1,0,0,0
29-01-2020,Australia,New South Wales,4,0,0,0
29-01-2020,Australia,Victoria,1,0,0,0
30-01-2020,Australia,New South Wales,4,0,2,0
30-01-2020,Australia,Victoria,2,0,0,0
30-01-2020,Australia,Queensland,3,0,0,0
31-01-2020,Australia,New South Wales,4,0,2,0
31-01-2020,Australia,Victoria,3,0,0,0
31-01-2020,Australia,Queensland,2,0,0,0
01-02-2020,Australia,New South Wales,4,0,2,2
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,Queensland,3,0,0,3
01-02-2020,Australia,South Australia,1,0,0,1
01-02-2020,Australia,New South Wales,4,0,2,2
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,New South Wales,4,0,2,2
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,New South Wales,4,0,2,2
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,New South Wales,4,0,2,2
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,Victoria,4,0,0,4
01-02-2020,Australia,Victoria,4,0,0,4
02-02-2020,Australia,Queensland,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,Queensland,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
02-02-2020,Australia,South Australia,2,0,0,2
04-02-2020,Australia,Queensland,3,0,0,3
04-02-2020,Australia,Queensland,3,0,0,3
06-02-2020,Australia,New South Wales,4,0,2,2
06-02-2020,Australia,Queensland,4,0,0,4
06-02-2020,Australia,New South Wales,4,0,2,2
06-02-2020,Australia,New South Wales,4,0,2,2
06-02-2020,Australia,New South Wales,4,0,2,2
06-02-2020,Australia,New South Wales,4,0,2,2
06-02-2020,Australia,New South Wales,4,0,2,2
06-02-2020,Australia,New South Wales,4,0,2,2
07-02-2020,Australia,Queensland,5,0,0,5
07-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
09-02-2020,Australia,Queensland,5,0,0,5
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
13-02-2020,Australia,Victoria,4,0,4,0
13-02-2020,Australia,New South Wales,4,0,4,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
17-02-2020,Australia,South Australia,2,0,2,0
21-02-2020,Australia,Queensland,5,0,1,4
21-02-2020,Australia,From Diamond Princess,4,0,0,4
21-02-2020,Australia,Queensland,5,0,1,4
21-02-2020,Australia,Queensland,5,0,1,4
21-02-2020,Australia,Queensland,5,0,1,4
21-02-2020,Australia,Queensland,5,0,1,4
21-02-2020,Australia,Queensland,5,0,1,4
21-02-2020,Australia,Queensland,5,0,1,4
21-02-2020,Australia,Queensland,5,0,1,4
22-02-2020,Australia,From Diamond Princess,7,0,0,7
22-02-2020,Australia,From Diamond Princess,7,0,0,7
22-02-2020,Australia,From Diamond Princess,7,0,0,7
22-02-2020,Australia,From Diamond Princess,7,0,0,7
22-02-2020,Australia,From Diamond Princess,7,0,0,7
27-02-2020,Australia,From Diamond Princess,8,0,0,8
27-02-2020,Australia,From Diamond Princess,8,0,0,8
28-02-2020,New Zealand,NA,1,0,0,1
28-02-2020,New Zealand,NA,1,0,0,1
28-02-2020,New Zealand,NA,1,0,0,1
28-02-2020,New Zealand,NA,1,0,0,1
28-02-2020,New Zealand,NA,1,0,0,1
29-02-2020,Australia,Queensland,9,0,1,8
29-02-2020,Australia,Victoria,7,0,4,3
29-02-2020,Australia,South Australia,3,0,2,1
29-02-2020,Australia,Western Australia,2,0,0,2
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,Queensland,9,0,1,8
29-02-2020,Australia,Victoria,7,0,4,3
29-02-2020,Australia,South Australia,3,0,2,1
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,Queensland,9,0,1,8
29-02-2020,Australia,South Australia,3,0,2,1
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,South Australia,3,0,2,1
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
29-02-2020,Australia,From Diamond Princess,0,0,0,0
01-03-2020,Australia,New South Wales,6,0,4,2
01-03-2020,Australia,Western Australia,2,1,0,1
01-03-2020,Australia,New South Wales,6,0,4,2
01-03-2020,Australia,Western Australia,2,1,0,1
01-03-2020,Australia,Western Australia,2,1,0,1
01-03-2020,Australia,Western Australia,2,1,0,1
02-03-2020,Australia,Victoria,9,0,4,5
02-03-2020,Australia,Tasmania,1,0,0,1
02-03-2020,Australia,Victoria,9,0,4,5
02-03-2020,Australia,Tasmania,1,0,0,1
02-03-2020,Australia,Tasmania,1,0,0,1
02-03-2020,Australia,Tasmania,1,0,0,1
02-03-2020,Australia,Tasmania,1,0,0,1
02-03-2020,Australia,Tasmania,1,0,0,1
